,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
39,235173,DPW Maintained,Pittosporum undulatum :: Victorian Box,4044 22nd St,1.0,Sidewalk: Curb side : Cutout,Private,,20,Width 3ft,37.75437628,-122.4373414
44,84674,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,4045 24th St,1.0,Sidewalk: Curb side : Cutout,Private,12/27/12 0:00,4,3x3,37.75130564,-122.4328702
46,10331,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,838 Haight St,1.0,Sidewalk: Curb side : Cutout,Private,4/12/07 0:00,8,5x5,37.77167675,-122.4361039
50,55091,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,526 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,9/12/72 0:00,9,,37.77806161,-122.4748418
51,222075,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,250 14th St,3.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.76842185,-122.4186009
52,88336,DPW Maintained,Pyrus calleryana :: Ornamental Pear,554 Naples St,2.0,Sidewalk: Curb side : Cutout,Private,7/10/08 0:00,8,3x3,37.72000186,-122.4319386
53,193488,DPW Maintained,Maytenus boaria :: Mayten,1101 18th St,6.0,Sidewalk: Curb side : Cutout,Private,,9,Width 3ft,37.76267667,-122.3938569
58,204455,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,166 Forest Side Ave,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.74042389,-122.4690972
59,43663,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,646 11th Ave,1.0,Sidewalk: Curb side : Cutout,Private,7/25/00 0:00,3,,37.77608334,-122.4692206
61,212228,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,1101 Bosworth St,1.0,Sidewalk: Curb side : Cutout,Private,,18,Width 3ft,37.73434505,-122.4386923
67,14053,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1355 Market St,9.0,Sidewalk: Curb side : Cutout,DPW,,3,4X4,37.77713184,-122.4165543
70,26049,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,136 Broad St,1.0,Sidewalk: Curb side : Cutout,Private,3/10/07 0:00,3,3X3,37.71326115,-122.4573902
71,123,DPW Maintained,Maytenus boaria :: Mayten,1032 14th St,1.0,Sidewalk: Curb side : Cutout,DPW,,25,3x3.5,37.76735942,-122.4361133
73,11451,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,30 ARGUELLO BLVD,2.0,Sidewalk: Curb side : Cutout,DPW,,70,3X12,37.78913273,-122.4593903
74,180021,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1800x Alemany Blvd,10.0,Median : Cutout,DPW,,4,Width 2ft,37.72315339,-122.4376889
76,203906,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,4996 19th Ave,2.0,Sidewalk: Property side : Yard,Private,,5,Width 8ft,37.72781497,-122.474622
83,130905,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1000 Jones St,2.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.79064605,-122.4138759
86,182517,DPW Maintained,Pittosporum undulatum :: Victorian Box,1610 Lawton St,2.0,Sidewalk: Curb side : Cutout,Private,,14,Width 0ft,37.75789278,-122.4801738
87,195389,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,190x Beale St,4.0,Sidewalk: Curb side : Cutout,Private,,8,Width 4ft,37.79001781,-122.3945589
88,235760,DPW Maintained,Prunus cerasifera :: Cherry Plum,1348 Vermont St,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.75252768,-122.4034456
94,86344,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2363 25th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,12/18/06 0:00,3,3x3,37.74347936,-122.4822505
95,229157,DPW Maintained,Lophostemon confertus :: Brisbane Box,3195 26th St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.74925584,-122.4135009
97,5922,Permitted Site,Lophostemon confertus :: Brisbane Box,1300X Eddy St,5.0,Sidewalk: Curb side : Cutout,Private,5/7/92 0:00,12,4X4,37.78206203,-122.4296075
100,110156,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1041 Broadway,2.0,Sidewalk: Curb side : Cutout,Private,3/25/15 0:00,3,3x3,37.79683937,-122.4142918
101,116000,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1454 Jones St,4.0,Sidewalk: Curb side : Cutout,Private,,11,3x3,37.7948974,-122.4147282
105,241998,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1138 Alabama St,1.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.7536703,-122.411132
106,244463,DPW Maintained,Pittosporum undulatum :: Victorian Box,406 Steiner St,3.0,Sidewalk: Curb side : Cutout,Private,,6,Width 0ft,37.77309617,-122.4322512
107,115134,Permitted Site,Lophostemon confertus :: Brisbane Box,499X MAIN ST,12.0,Sidewalk: Curb side : Cutout,Private,,10,,37.78724942,-122.3889664
108,16957,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,673 Oak St,2.0,Sidewalk: Curb side : Cutout,DPW,1/25/08 0:00,3,3X3,37.77398518,-122.4301281
109,179052,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,35 Delano Ave,2.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.72733098,-122.4398464
110,67486,DPW Maintained,Pittosporum undulatum :: Victorian Box,617 Wisconsin St,1.0,Sidewalk: Curb side : Cutout,Private,9/8/92 0:00,6,,37.75926202,-122.3990347
111,92244,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1510 32nd Ave,2.0,Sidewalk: Curb side : Cutout,Private,7/23/09 0:00,1,3x3,37.75896284,-122.4907049
112,15201,DPW Maintained,Lophostemon confertus :: Brisbane Box,1120 Mission St,4.0,Sidewalk: Curb side : Cutout,DPW,4/12/95 0:00,6,3X3,37.77888219,-122.4114764
114,128991,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1045 Broadway,2.0,Sidewalk: Curb side : Cutout,Private,,2,Width 4ft,37.79683373,-122.4143807
116,250909,DPW Maintained,Pittosporum undulatum :: Victorian Box,283 29th Ave,1.0,Sidewalk: Curb side : Yard,Private,,13,Width 4ft,37.78402696,-122.4893957
120,1509,DPW Maintained,Pittosporum undulatum :: Victorian Box,364 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,10/15/96 0:00,9,3X3,37.78454089,-122.4587286
121,120100,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2533 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.78558961,-122.4868639
123,202410,DPW Maintained,Lophostemon confertus :: Brisbane Box,300 Beale St,3.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.78838258,-122.3925036
124,22038,DPW Maintained,Lophostemon confertus :: Brisbane Box,2895 03rd St,6.0,Sidewalk: Curb side : Cutout,DPW,2/14/95 0:00,3,3X3,37.75340073,-122.3876708
126,68331,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,2338 Anza St,1.0,Sidewalk: Curb side : Cutout,Private,8/9/93 0:00,9,,37.77874487,-122.4734554
127,113138,DPW Maintained,Olea europaea :: Olive Tree,1314 Noriega St,1.0,Sidewalk: Curb side : Cutout,Private,,1,3x3,37.75427133,-122.4778577
132,95145,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3738 Geary Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,4,3x3,37.78137546,-122.4596769
133,57164,DPW Maintained,Pittosporum undulatum :: Victorian Box,2989 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,10/26/74 0:00,15,,37.79116984,-122.4443019
134,214907,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,334 San Leandro Way,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.7311353,-122.4688466
135,10479,DPW Maintained,Lophostemon confertus :: Brisbane Box,1654 Haight St,1.0,Sidewalk: Curb side : Cutout,DPW,12/2/07 0:00,12,3X3,37.769751,-122.4494797
136,126869,Prune Opt Out,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',45 Walnut St,2.0,Sidewalk: Curb side : Cutout,Private,,14,Width 2ft,37.79081471,-122.4493157
139,204003,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1301 Portola Dr,2.0,Sidewalk: Curb side : Yard,Private,,11,Width 3ft,37.73981349,-122.464396
140,233766,DPW Maintained,Olea europaea :: Olive Tree,89 Walter St,1.0,Sidewalk: Curb side : Cutout,Private,,18,Width 3ft,37.76785227,-122.4322709
141,31815,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,47 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,6/19/95 0:00,3,,37.7697757,-122.435117
143,175750,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,348 Naylor St,2.0,Sidewalk: Curb side : Yard,Private,,12,Width 6ft,37.70922992,-122.4320202
145,1562,DPW Maintained,Pittosporum undulatum :: Victorian Box,561 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,30,3X3,37.78004905,-122.4588994
150,63002,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1247 42nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,9/22/86 0:00,2,,37.76335092,-122.5019086
153,13911,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1067 Market St,2.0,Sidewalk: Curb side : Cutout,DPW,,30,4X4,37.78097423,-122.4116357
155,129971,DPW Maintained,Lophostemon confertus :: Brisbane Box,245 Taylor St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 4ft,37.78486671,-122.4111954
157,237489,DPW Maintained,Prunus cerasifera :: Cherry Plum,964 Noe St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.75350724,-122.4321583
158,220966,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,345 San Jose Ave,2.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.74960846,-122.4212829
159,256115,Planning Code 138.1 required,Arbutus 'Marina' :: Hybrid Strawberry Tree,503 Anderson St,1.0,Sidewalk: Curb side : Cutout,Private,9/12/18 0:00,3,3x3,37.73711377,-122.4152742
160,8671,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2900 Geary Blvd,3.0,Sidewalk: Curb side : Cutout,Private,2/22/96 0:00,7,3X3,37.78220247,-122.4504931
162,125248,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1085 Broadway,2.0,Sidewalk: Curb side : Cutout,Private,,19,Width 3ft,37.7967704,-122.4148391
164,130799,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2624 Steiner St,2.0,Sidewalk: Curb side : Yard,Private,,7,Width 4ft,37.79334342,-122.4363424
165,214981,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,89 Agua Way,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.74205447,-122.4533484
169,177954,DPW Maintained,Olea europaea :: Olive Tree,0 Grijalva Dr,2.0,Sidewalk: Curb side : Yard,Private,,8,,37.71692788,-122.4785584
171,56411,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',118 18th Ave,1.0,Sidewalk: Curb side : Cutout,Private,8/20/73 0:00,14,,37.78564138,-122.4775333
172,225353,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',133 Otis St,4.0,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.77194267,-122.4199675
173,72939,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1941 Lyon St,1.0,Sidewalk: Curb side : Cutout,Private,,5,,37.78893169,-122.445781
174,241653,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,145 Albion St,3.0,Sidewalk: Curb side : Cutout,Private,,3,Width 5ft,37.76407346,-122.4227089
178,235870,Permitted Site,Prunus cerasifera :: Cherry Plum,619 York St,1.0,Sidewalk: Curb side : Cutout,Private,5/10/94 0:00,7,Width 3ft,37.76124092,-122.4089886
179,126903,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',145 Presidio Ave,2.0,Sidewalk: Curb side : Cutout,Private,,11,Width 5ft,37.79018763,-122.4474717
180,26766,DPW Maintained,Lophostemon confertus :: Brisbane Box,1661 Pine St,13.0,Sidewalk: Curb side : Cutout,Private,,8,3X3,37.78926544,-122.422703
182,188262,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,1322 Hudson Ave,47.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.73400042,-122.3824893
183,86159,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1235 24th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,1/19/07 0:00,3,3x3,37.7644623,-122.4826285
186,183038,DPW Maintained,Olea europaea :: Olive Tree,2561 21st Ave,1.0,Sidewalk: Curb side : Cutout,Private,,3,Width 0ft,37.73997035,-122.4777017
187,192141,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',609 Minna St,4.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.77859678,-122.4105859
188,141185,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1953 O'Farrell St,2.0,Sidewalk: Curb side : Cutout,Private,,13,Width 0ft,37.78268237,-122.4368343
190,202002,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,200 Paul Ave,5.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.72303938,-122.3981014
192,37189,DPW Maintained,Pittosporum undulatum :: Victorian Box,1486 30th Ave,1.0,Sidewalk: Curb side : Cutout,Private,4/12/01 0:00,5,,37.75957389,-122.488576
195,133580,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3421 Pacific Ave,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.791052,-122.451467
197,217857,DPW Maintained,Prunus cerasifera :: Cherry Plum,1447 Willard St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.76346939,-122.4542067
198,212485,DPW Maintained,Prunus cerasifera :: Cherry Plum,279 Pacheco St,3.0,Sidewalk: Curb side : Yard,Private,,4,Width 4ft,37.74785568,-122.4625385
199,209652,Permitted Site,Maytenus boaria :: Mayten,542 Moraga St,1.0,Sidewalk: Curb side : Cutout,Private,5/17/73 0:00,10,Width 3ft,37.75653473,-122.4686951
201,222948,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,347 Hermann St,1.0,Sidewalk: Curb side : Cutout,Private,,22,Width 3ft,37.77007285,-122.4309194
204,120030,DPW Maintained,Pittosporum undulatum :: Victorian Box,5250 Fulton St,5.0,Sidewalk: Property side : Yard,Private,,9,Width 6ft,37.77248638,-122.4882967
205,244289,DPW Maintained,Pyrus calleryana :: Ornamental Pear,201 Octavia St,1.0,Sidewalk: Curb side : Cutout,Private,,3,Width 0ft,37.77404386,-122.4241938
206,72442,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',640 Mason St,1.0,Sidewalk: Curb side : Cutout,Private,,6,,37.78959419,-122.4102896
207,9218,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,6300 Geary Blvd,5.0,Median : Cutout,DPW,,3,8M,37.78000136,-122.4872622
208,113643,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1400 MISSION ST,5.0,Sidewalk: Curb side : Cutout,Private,2/9/16 0:00,3,4x6,37.77527096,-122.4159838
209,250424,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,66 Seacliff Ave,1.0,Sidewalk: Curb side : Yard,Private,,16,Width 4ft,37.78895714,-122.4859748
210,193155,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,33 Clementina St,3.0,Sidewalk: Curb side : Cutout,Private,,3,Width 2ft,37.78696711,-122.3958714
211,242652,DPW Maintained,Ulmus parvifolia :: Chinese Elm,3000 22nd St,2.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.7557398,-122.414754
214,5026,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,10.0,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74277322,-122.436671
215,225318,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',25 Fillmore St,1.0,Sidewalk: Curb side : Cutout,Private,,17,Width 3ft,37.76973265,-122.4300587
218,184542,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1701 40th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2/13/18 0:00,3,3x3,37.75497106,-122.4991718
219,193286,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1333 Hudson Ave,15.0,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.7323563,-122.3801837
220,22459,DPW Maintained,Olea europaea :: Olive Tree,6150 03rd St,1.0,Sidewalk: Curb side : Cutout,DPW,,3,3X3,37.72346338,-122.3953133
221,138667,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1723 LYON ST,1.0,Sidewalk: Curb side : Pot,Private,,12,Width 0ft,37.7868166,-122.4453794
224,242612,DPW Maintained,Ulmus parvifolia :: Chinese Elm,130 Winfield St,1.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.74294053,-122.4183579
225,118180,DPW Maintained,Olea europaea :: Olive Tree,719 33rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.77550903,-122.4930785
226,24492,Permitted Site,Lophostemon confertus :: Brisbane Box,495X Fell St,6.0,Sidewalk: Curb side : Cutout,Private,6/24/95 0:00,6,3X3,37.77560902,-122.4249888
227,177596,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2969 Alemany Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,1/30/18 0:00,17,Width 2ft,37.71136852,-122.4526619
230,234164,DPW Maintained,Pittosporum undulatum :: Victorian Box,1800 Alabama St,1.0,Sidewalk: Curb side : Yard,Private,,3,Width 3ft,37.74422314,-122.4104706
232,212276,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,751 Junipero Serra Blvd,10.0,Sidewalk: Curb side : Yard,Private,,13,Width 3ft,37.72470567,-122.4719944
233,119551,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,601 30th Ave,29.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.77738951,-122.4899942
234,131545,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1338 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.79324076,-122.4147408
237,49525,DPW Maintained,Lophostemon confertus :: Brisbane Box,575@ DIVISION 10th St,4.0,Sidewalk: Curb side : Cutout,Private,4/23/03 0:00,7,,37.76969642,-122.4087483
240,110517,Undocumented,Ginkgo biloba :: Maidenhair Tree,99x JULIAN AVE,1.0,Sidewalk: Curb side : Cutout,Private,,1,3x3,37.76739688,-122.4211339
246,128731,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',565 Pacific Ave,3.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.79710577,-122.4048519
251,111250,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3121x Vicente St,1.0,Sidewalk: Curb side : Cutout,Private,,6,3x3,37.73810025,-122.5004466
255,17927,DPW Maintained,Ulmus parvifolia :: Chinese Elm,2397X Pine St,10.0,Sidewalk: Curb side : Cutout,DPW,,4,3X3,37.78768356,-122.4351991
256,178719,DPW Maintained,Prunus cerasifera :: Cherry Plum,101 Prague St,3.0,Sidewalk: Curb side : Cutout,Private,,6,Width 2ft,37.72024975,-122.4261221
257,235659,DPW Maintained,Prunus cerasifera :: Cherry Plum,2 Brosnan St,3.0,Sidewalk: Curb side : Cutout,Private,,5,Width 2ft,37.76876129,-122.4226108
258,101320,Undocumented,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',6-8 Steiner St,1.0,Sidewalk: Curb side : Cutout,Private,,12,6x6,37.76931504,-122.4315059
260,187474,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,4399 Mission St,9.0,Sidewalk: Curb side : Cutout,Private,,5,Width 0ft,37.72815278,-122.431747
261,135590,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,150x Drumm St,2.0,Median : Yard,DPW,,8,Width 7ft,37.79493038,-122.39666
262,175507,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,95 Gladstone Dr,3.0,Sidewalk: Property side : Yard,Private,6/16/21 0:00,3,Width 3ft,37.72939087,-122.4210958
263,13795,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,929 Market St,4.0,Sidewalk: Curb side : Cutout,DPW,9/12/93 0:00,30,3X3,37.78339759,-122.4085601
264,30362,DPW Maintained,Pittosporum undulatum :: Victorian Box,606 Arkansas St,1.0,Sidewalk: Curb side : Cutout,Private,3/2/56 0:00,11,,37.75852471,-122.3981897
265,125114,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,3160 Jackson St,2.0,Sidewalk: Curb side : Cutout,Private,,6,Width 4ft,37.79095197,-122.4470332
268,134345,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1028 Market St,4.0,Sidewalk: Curb side : Cutout,Private,,13,Width 4ft,37.7817173,-122.4110952
269,253547,DPW Maintained,Olea europaea :: Olive Tree,1000 Cayuga Ave,15.0,Back Yard : Yard,DPW,9/27/17 11:40,3,3x3,37.72207681,-122.4398369
273,198154,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2 Zoe St,6.0,Sidewalk: Curb side : Cutout,Private,,5,Width 2ft,37.7801782,-122.3964804
274,248355,DPW Maintained,Olea europaea :: Olive Tree,1467 Waller St,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 0ft,37.76888805,-122.44775
275,25779,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1711 Geneva Ave,1.0,Sidewalk: Curb side : Cutout,DPW,4/18/97 0:00,18,2X3,37.7111607,-122.426399
276,23622,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,101X Vicente St,2.0,Sidewalk: Curb side : Cutout,DPW,,16,3X3,37.73976858,-122.4672855
277,225034,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',4403 18th St,1.0,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.76052423,-122.438405
278,16389,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',238 Myrtle St,1.0,Sidewalk: Curb side : Cutout,Private,,6,3X3,37.7851454,-122.4221053
