,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
165,214981,DPW Maintained,Swamp Myrtle,89 Agua Way,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.74205447,-122.4533484
171,56411,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',118 18th Ave,1.0,Sidewalk: Curb side : Cutout,Private,8/20/73 0:00,14,,37.78564138,-122.4775333
172,225353,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',133 Otis St,4.0,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.77194267,-122.4199675
173,72939,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',1941 Lyon St,1.0,Sidewalk: Curb side : Cutout,Private,,5,,37.78893169,-122.445781
174,241653,DPW Maintained,Swamp Myrtle,145 Albion St,3.0,Sidewalk: Curb side : Cutout,Private,,3,Width 5ft,37.76407346,-122.4227089
178,235870,Permitted Site,Cherry Plum,619 York St,1.0,Sidewalk: Curb side : Cutout,Private,5/10/94 0:00,7,Width 3ft,37.76124092,-122.4089886
179,126903,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',145 Presidio Ave,2.0,Sidewalk: Curb side : Cutout,Private,,11,Width 5ft,37.79018763,-122.4474717
180,26766,DPW Maintained,Brisbane Box,1661 Pine St,13.0,Sidewalk: Curb side : Cutout,Private,,8,3X3,37.78926544,-122.422703
183,86159,DPW Maintained,Hybrid Strawberry Tree,1235 24th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,1/19/07 0:00,3,3x3,37.7644623,-122.4826285
187,192141,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',609 Minna St,4.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.77859678,-122.4105859
188,141185,DPW Maintained,New Zealand Xmas Tree,1953 O'Farrell St,2.0,Sidewalk: Curb side : Cutout,Private,,13,Width 0ft,37.78268237,-122.4368343
190,202002,DPW Maintained,Sycamore: London Plane,200 Paul Ave,5.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.72303938,-122.3981014
192,37189,DPW Maintained,Victorian Box,1486 30th Ave,1.0,Sidewalk: Curb side : Cutout,Private,4/12/01 0:00,5,,37.75957389,-122.488576
195,133580,DPW Maintained,Sycamore: London Plane,3421 Pacific Ave,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.791052,-122.451467
197,217857,DPW Maintained,Cherry Plum,1447 Willard St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.76346939,-122.4542067
198,212485,DPW Maintained,Cherry Plum,279 Pacheco St,3.0,Sidewalk: Curb side : Yard,Private,,4,Width 4ft,37.74785568,-122.4625385
204,120030,DPW Maintained,Victorian Box,5250 Fulton St,5.0,Sidewalk: Property side : Yard,Private,,9,Width 6ft,37.77248638,-122.4882967
206,72442,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',640 Mason St,1.0,Sidewalk: Curb side : Cutout,Private,,6,,37.78959419,-122.4102896
208,113643,Planning Code 138.1 required,Brisbane Box,1400 MISSION ST,5.0,Sidewalk: Curb side : Cutout,Private,2/9/16 0:00,3,4x6,37.77527096,-122.4159838
209,250424,DPW Maintained,New Zealand Xmas Tree,66 Seacliff Ave,1.0,Sidewalk: Curb side : Yard,Private,,16,Width 4ft,37.78895714,-122.4859748
210,193155,DPW Maintained,Southern Magnolia,33 Clementina St,3.0,Sidewalk: Curb side : Cutout,Private,,3,Width 2ft,37.78696711,-122.3958714
214,5026,DPW Maintained,New Zealand Xmas Tree,5320 Diamond Heights Blvd,10.0,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74277322,-122.436671
215,225318,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',25 Fillmore St,1.0,Sidewalk: Curb side : Cutout,Private,,17,Width 3ft,37.76973265,-122.4300587
218,184542,Permitted Site,New Zealand Xmas Tree,1701 40th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2/13/18 0:00,3,3x3,37.75497106,-122.4991718
219,193286,DPW Maintained,Southern Magnolia,1333 Hudson Ave,15.0,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.7323563,-122.3801837
221,138667,DPW Maintained,Southern Magnolia,1723 LYON ST,1.0,Sidewalk: Curb side : Pot,Private,,12,Width 0ft,37.7868166,-122.4453794
226,24492,Permitted Site,Brisbane Box,495X Fell St,6.0,Sidewalk: Curb side : Cutout,Private,6/24/95 0:00,6,3X3,37.77560902,-122.4249888
227,177596,DPW Maintained,New Zealand Xmas Tree,2969 Alemany Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,1/30/18 0:00,17,Width 2ft,37.71136852,-122.4526619
230,234164,DPW Maintained,Victorian Box,1800 Alabama St,1.0,Sidewalk: Curb side : Yard,Private,,3,Width 3ft,37.74422314,-122.4104706
233,119551,DPW Maintained,New Zealand Xmas Tree,601 30th Ave,29.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.77738951,-122.4899942
234,131545,DPW Maintained,New Zealand Xmas Tree,1338 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.79324076,-122.4147408
237,49525,DPW Maintained,Brisbane Box,575@ DIVISION 10th St,4.0,Sidewalk: Curb side : Cutout,Private,4/23/03 0:00,7,,37.76969642,-122.4087483
246,128731,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',565 Pacific Ave,3.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.79710577,-122.4048519
251,111250,DPW Maintained,New Zealand Xmas Tree,3121x Vicente St,1.0,Sidewalk: Curb side : Cutout,Private,,6,3x3,37.73810025,-122.5004466
256,178719,DPW Maintained,Cherry Plum,101 Prague St,3.0,Sidewalk: Curb side : Cutout,Private,,6,Width 2ft,37.72024975,-122.4261221
257,235659,DPW Maintained,Cherry Plum,2 Brosnan St,3.0,Sidewalk: Curb side : Cutout,Private,,5,Width 2ft,37.76876129,-122.4226108
258,101320,Undocumented,Indian Laurel Fig Tree 'Green Gem',6-8 Steiner St,1.0,Sidewalk: Curb side : Cutout,Private,,12,6x6,37.76931504,-122.4315059
260,187474,DPW Maintained,Swamp Myrtle,4399 Mission St,9.0,Sidewalk: Curb side : Cutout,Private,,5,Width 0ft,37.72815278,-122.431747
261,135590,DPW Maintained,Sycamore: London Plane,150x Drumm St,2.0,Median : Yard,DPW,,8,Width 7ft,37.79493038,-122.39666
262,175507,DPW Maintained,Hybrid Strawberry Tree,95 Gladstone Dr,3.0,Sidewalk: Property side : Yard,Private,6/16/21 0:00,3,Width 3ft,37.72939087,-122.4210958
263,13795,DPW Maintained,Sycamore: London Plane,929 Market St,4.0,Sidewalk: Curb side : Cutout,DPW,9/12/93 0:00,30,3X3,37.78339759,-122.4085601
264,30362,DPW Maintained,Victorian Box,606 Arkansas St,1.0,Sidewalk: Curb side : Cutout,Private,3/2/56 0:00,11,,37.75852471,-122.3981897
268,134345,DPW Maintained,Sycamore: London Plane,1028 Market St,4.0,Sidewalk: Curb side : Cutout,Private,,13,Width 4ft,37.7817173,-122.4110952
273,198154,DPW Maintained,Swamp Myrtle,2 Zoe St,6.0,Sidewalk: Curb side : Cutout,Private,,5,Width 2ft,37.7801782,-122.3964804
275,25779,DPW Maintained,Hybrid Strawberry Tree,1711 Geneva Ave,1.0,Sidewalk: Curb side : Cutout,DPW,4/18/97 0:00,18,2X3,37.7111607,-122.426399
276,23622,DPW Maintained,Sycamore: London Plane,101X Vicente St,2.0,Sidewalk: Curb side : Cutout,DPW,,16,3X3,37.73976858,-122.4672855
277,225034,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',4403 18th St,1.0,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.76052423,-122.438405
278,16389,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',238 Myrtle St,1.0,Sidewalk: Curb side : Cutout,Private,,6,3X3,37.7851454,-122.4221053
279,10545,DPW Maintained,Brisbane Box,165 Harbor Rd,2.0,Sidewalk: Curb side : Cutout,DPW,2/12/92 0:00,12,3X4,37.732451,-122.3785079
280,51059,DPW Maintained,Southern Magnolia,1751 Newcomb Ave,1.0,Sidewalk: Curb side : Cutout,Private,7/9/04 0:00,6,,37.73679169,-122.3926933
282,45648,DPW Maintained,Cherry Plum,161 Naples St,1.0,Sidewalk: Curb side : Cutout,Private,10/27/05 0:00,3,,37.7261072,-122.4271553
283,135285,DPW Maintained,Sycamore: London Plane,1000 The Embarcadero,3.0,Sidewalk: Curb side : Cutout,Private,,9,Width 4ft,37.80054971,-122.3990875
286,92462,DPW Maintained,Hybrid Strawberry Tree,3445 Lawton St,4.0,Sidewalk: Curb side : Cutout,Private,7/30/09 0:00,2,3x3,37.75686541,-122.4999649
289,192961,DPW Maintained,Southern Magnolia,1 Missouri St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.76609755,-122.3967785
291,23044,DPW Maintained,New Zealand Xmas Tree,1000 Valencia St,3.0,Sidewalk: Curb side : Cutout,DPW,2/1/95 0:00,18,3x3,37.75668817,-122.4212589
294,190357,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',357 Bryant St,1.0,Sidewalk: Curb side : Cutout,Private,,20,Width 3ft,37.78313486,-122.3933905
299,135043,DPW Maintained,Sycamore: London Plane,252 Broadway,3.0,Sidewalk: Curb side : Cutout,Private,,6,Width 4ft,37.79852701,-122.4020756
301,100530,DPW Maintained,Indian Laurel Fig Tree 'Green Gem',1434 Taylor St,1.0,Sidewalk: Curb side : Cutout,Private,,16,,37.79565809,-122.4131987
303,238725,DPW Maintained,Sycamore: London Plane,150 Appleton Ave,1.0,Sidewalk: Curb side : Yard,Private,,6,Width 3ft,37.73801158,-122.4220442
304,117963,DPW Maintained,Hybrid Strawberry Tree,4545 Anza St,11.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.77753646,-122.4965871
310,130899,DPW Maintained,Southern Magnolia,810 Mason St,5.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.79128057,-122.4106222
313,175497,DPW Maintained,Hybrid Strawberry Tree,780 Woolsey St,17.0,Sidewalk: Curb side : Cutout,Private,,9,Width 3ft,37.72287811,-122.4118815
314,138948,DPW Maintained,Sycamore: London Plane,738 HAYES ST,1.0,Sidewalk: Curb side : Cutout,Private,8/7/08 0:00,4,Width 0ft,37.7762322,-122.4286181
